"","site.x","night_date.x","samp.occ","uid","EPTFUS","LASBOR","LASCIN","LASNOC","MYOLEI","MYOLUC","MYOSEP","MYOSOD","NYCHUM","PERSUB","NOID","NOISE","EPTFUS.P","LASBOR.P","LASCIN.P","LASNOC.P","MYOLEI.P","MYOLUC.P","MYOSEP.P","MYOSOD.P","NYCHUM.P","PERSUB.P","version","subversion"
"1","GETT01",2018-04-27,1,"GETT01 2018-04-27",88,6,2,5,0,4,0,0,6,0,28,51,0,0.00012,1,1,1,0.0847415,1,1,0.0710759,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"2","GETT01",2018-04-28,2,"GETT01 2018-04-28",4,0,0,1,0,0,0,0,0,0,4,8,0.0015657,1,1,0.8481914,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"3","GETT01",2018-04-29,3,"GETT01 2018-04-29",0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"4","GETT01",2018-04-30,4,"GETT01 2018-04-30",123,1,2,2,0,2,0,0,10,0,39,80,0,0.8647075,1,1,1,0.0771023,1,1,2.6e-06,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"5","GETT01",2018-05-01,5,"GETT01 2018-05-01",57,0,7,14,0,0,0,0,0,0,19,51,0,1,0.1125397,0.2088624,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"6","GETT01",2018-05-02,6,"GETT01 2018-05-02",62,0,5,17,0,1,0,0,1,2,23,69,0,1,0.6179035,0.0444452,1,0.1777865,1,1,0.2365047,0.0046729,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"7","GETT01",2018-05-03,7,"GETT01 2018-05-03",51,0,30,18,0,0,0,0,1,0,32,93,0,1,0,0.3748337,1,1,1,1,0.1909892,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"8","GETT01",2018-05-04,8,"GETT01 2018-05-04",44,0,12,8,0,0,0,0,0,4,35,99,0,1,2.07e-05,0.9912341,1,1,1,1,1,5e-07,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"9","GETT01",2018-05-05,9,"GETT01 2018-05-05",4,0,1,1,0,0,0,0,0,0,2,52,0.0020892,1,0.4603464,0.942195,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"10","GETT01",2018-05-06,10,"GETT01 2018-05-06",10,0,2,8,0,1,0,0,0,0,5,16,3.51e-05,1,0.5367967,0.0058583,1,0.1058156,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"11","GETT01",2018-05-07,11,"GETT01 2018-05-07",35,0,13,15,0,0,0,0,1,0,27,45,0,1,5.9e-06,0.0478662,1,1,1,1,0.1909892,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"12","GETT01",2018-05-08,12,"GETT01 2018-05-08",47,0,9,13,0,0,0,0,0,8,27,90,0,1,0.0059938,0.2160509,1,1,1,1,1,0,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"13","GETT01",2018-05-09,13,"GETT01 2018-05-09",54,1,11,8,0,0,0,0,2,4,44,122,0,0.3108658,0.0003815,1,1,1,1,1,0.2056736,4.41e-05,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"14","GETT01",2018-05-10,14,"GETT01 2018-05-10",74,0,17,21,0,0,0,0,4,0,58,162,0,1,8.5e-06,0.1030745,1,1,1,1,0.0013306,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"15","GETT01",2018-05-11,15,"GETT01 2018-05-11",104,0,8,5,0,0,0,0,0,1,45,181,0,1,0.3634606,1,1,1,1,1,1,0.0263792,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"16","GETT01",2018-05-12,16,"GETT01 2018-05-12",21,2,9,11,0,1,0,0,0,1,10,153,0,0.0107387,0.000166,0.0541765,1,0.5744324,1,1,1,0.1688558,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"17","GETT01",2018-05-13,17,"GETT01 2018-05-13",2,0,0,1,0,0,0,0,0,0,1,24,0.0721374,1,1,0.5941047,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"18","GETT01",2018-05-14,18,"GETT01 2018-05-14",62,0,9,8,0,0,0,0,0,0,32,168,0,1,0.0114023,1,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"19","GETT01",2018-05-15,19,"GETT01 2018-05-15",27,0,4,6,0,1,0,0,0,0,13,75,0,1,0.1712896,0.6718702,1,0.1106882,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"20","GETT01",2018-05-16,20,"GETT01 2018-05-16",4,0,0,0,0,0,0,0,0,0,1,8,0.0002311,1,1,1,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"21","GETT01",2018-05-24,21,"GETT01 2018-05-24",43,0,2,1,0,0,0,0,1,0,22,83,0,1,0.9981515,1,1,1,1,1,0.1908961,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"22","GETT01",2018-05-25,22,"GETT01 2018-05-25",118,0,7,0,0,0,0,0,0,2,29,166,0,1,0.7958089,1,1,1,1,1,1,0.0006962,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"23","GETT01",2018-05-26,23,"GETT01 2018-05-26",67,0,8,4,0,1,0,0,2,1,26,125,0,1,0.0606378,1,1,0.1613915,1,1,0.0477333,0.1704295,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"24","GETT01",2018-05-27,24,"GETT01 2018-05-27",10,0,3,0,0,0,0,0,0,0,5,66,0,1,0.0580573,1,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"25","GETT01",2018-05-28,25,"GETT01 2018-05-28",27,0,3,2,0,0,0,0,1,0,17,88,0,1,0.3893708,1,1,1,1,1,0.1909385,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"26","GETT01",2018-05-29,26,"GETT01 2018-05-29",50,1,11,1,0,0,0,0,3,1,22,120,0,0.4192869,0.0003196,1,1,1,1,1,0.0473574,0.2795438,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"27","GETT01",2018-05-30,27,"GETT01 2018-05-30",17,0,4,1,0,0,0,0,1,0,10,71,0,1,0.0414356,1,1,1,1,1,0.1909176,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"28","GETT01",2018-05-31,28,"GETT01 2018-05-31",17,0,0,1,0,0,0,0,0,0,9,41,0,1,1,1,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"29","GETT01",2018-06-01,29,"GETT01 2018-06-01",35,0,1,2,0,0,0,0,1,0,11,72,0,1,1,1,1,1,1,1,0.1911313,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"30","GETT01",2018-06-02,30,"GETT01 2018-06-02",7,0,2,2,0,0,0,0,0,0,2,56,3.22e-05,1,0.1852326,0.8419644,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"31","GETT01",2018-06-03,31,"GETT01 2018-06-03",0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"32","GETT01",2018-06-04,32,"GETT01 2018-06-04",11,0,1,0,0,0,0,0,1,0,5,29,0,1,0.8329685,1,1,1,1,1,0.1908721,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"33","GETT01",2018-06-05,33,"GETT01 2018-06-05",6,0,1,0,0,0,0,0,0,0,3,23,5.1e-06,1,0.5847734,1,1,1,1,1,1,1,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"34","GETT01",2018-06-06,34,"GETT01 2018-06-06",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"35","GETT01",2018-06-07,35,"GETT01 2018-06-07",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"36","GETT01",2018-06-08,36,"GETT01 2018-06-08",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"37","GETT01",2018-06-09,37,"GETT01 2018-06-09",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"38","GETT01",2018-06-10,38,"GETT01 2018-06-10",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"39","GETT01",2018-06-11,39,"GETT01 2018-06-11",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"40","GETT01",2018-06-12,40,"GETT01 2018-06-12",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"41","GETT01",2018-06-13,41,"GETT01 2018-06-13",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
"42","GETT01",2018-06-14,42,"GETT01 2018-06-14",0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,"KALEIDOSCOPE 5.2.1","Bats of North America 5.1.0 S/A: 0"
