"site","night_date.x","MYOSEP","MYOSEP.P","jdate","open","forested","riparian","timing"
"GETT01",2018-04-27,0,1,117,0,1,1,"early"
"GETT01",2018-04-28,0,1,118,0,1,1,"early"
"GETT01",2018-04-29,0,1,119,0,1,1,"early"
"GETT01",2018-04-30,0,1,120,0,1,1,"early"
"GETT01",2018-05-01,0,1,121,0,1,1,"early"
"GETT01",2018-05-02,0,1,122,0,1,1,"early"
"GETT01",2018-05-03,0,1,123,0,1,1,"early"
"GETT01",2018-05-04,0,1,124,0,1,1,"early"
"GETT01",2018-05-05,0,1,125,0,1,1,"early"
"GETT01",2018-05-06,0,1,126,0,1,1,"early"
"GETT01",2018-05-07,0,1,127,0,1,1,"early"
"GETT01",2018-05-08,0,1,128,0,1,1,"early"
"GETT01",2018-05-09,0,1,129,0,1,1,"early"
"GETT01",2018-05-10,0,1,130,0,1,1,"early"
"GETT01",2018-05-11,0,1,131,0,1,1,"early"
"GETT01",2018-05-12,0,1,132,0,1,1,"early"
"GETT01",2018-05-13,0,1,133,0,1,1,"early"
"GETT01",2018-05-14,0,1,134,0,1,1,"early"
"GETT01",2018-05-15,0,1,135,0,1,1,"early"
"GETT01",2018-05-16,0,1,136,0,1,1,"early"
"GETT01",2018-05-24,0,1,144,0,1,1,"early"
"GETT01",2018-05-25,0,1,145,0,1,1,"early"
"GETT01",2018-05-26,0,1,146,0,1,1,"early"
"GETT01",2018-05-27,0,1,147,0,1,1,"early"
"GETT01",2018-05-28,0,1,148,0,1,1,"early"
"GETT01",2018-05-29,0,1,149,0,1,1,"early"
"GETT01",2018-05-30,0,1,150,0,1,1,"late"
"GETT01",2018-05-31,0,1,151,0,1,1,"late"
"GETT01",2018-06-01,0,1,152,0,1,1,"late"
"GETT01",2018-06-02,0,1,153,0,1,1,"late"
"GETT01",2018-06-03,0,1,154,0,1,1,"late"
"GETT01",2018-06-04,0,1,155,0,1,1,"late"
"GETT01",2018-06-05,0,1,156,0,1,1,"late"
"GETT01",2018-06-06,0,0.99,157,0,1,1,"late"
"GETT01",2018-06-07,0,0.99,158,0,1,1,"late"
"GETT01",2018-06-08,0,0.99,159,0,1,1,"late"
"GETT01",2018-06-09,0,0.99,160,0,1,1,"late"
"GETT01",2018-06-10,0,0.99,161,0,1,1,"late"
"GETT01",2018-06-11,0,0.99,162,0,1,1,"late"
"GETT01",2018-06-12,0,0.99,163,0,1,1,"late"
"GETT01",2018-06-13,0,0.99,164,0,1,1,"late"
"GETT01",2018-06-14,0,0.99,165,0,1,1,"late"
"GETT01",2018-06-15,0,0.99,166,0,1,1,"late"
"GETT01",2018-06-16,0,0.99,167,0,1,1,"late"
