site,BUILT_UP_LAND,TRANSPORTATION_CORRIDOR,AGRICULTURAL_LAND,DECIDUOUS_FOREST,POND,TEMPORARILY_FLOODED_DECIDUOUS_FOREST,RIVER,EVERGREEN_FOREST,total_area,prop_built_up,prop_transportation,prop_agricultural,prop_decid_forest,prop_pond,prop_temp_flood_decid_forest,prop_river,prop_evergreen_forest,open,forested,riparian
GETT09,0,0,0,2900,0,0,0,0,2900,0,0,0,1,0,0,0,0,0,1,0
GETT19,1800,0,0,0,1100,0,0,0,2900,0.620689655,0,0,0,0.379310345,0,0,0,1,0,1
GETT01,0,0,0,100,0,2100,600,0,2800,0,0,0,0.035714286,0,0.75,0.214285714,0,0,1,1
GETT02,0,0,0,2600,0,0,0,0,2600,0,0,0,1,0,0,0,0,0,1,0
GETT12,0,0,1700,0,0,1200,0,0,2900,0,0,0.586206897,0,0,0.413793103,0,0,1,1,1
GETT10,100,0,0,200,0,0,0,2400,2700,0.037037037,0,0,0.074074074,0,0,0,0.888888889,1,1,0
GETT04,0,0,0,0,0,2500,300,0,2800,0,0,0,0,0,0.892857143,0.107142857,0,0,1,1
GETT14,0,0,0,2800,0,0,0,0,2800,0,0,0,1,0,0,0,0,0,1,0
GETT15,0,600,0,2300,0,0,0,0,2900,0,0.206896552,0,0.793103448,0,0,0,0,1,1,0
GETT16,0,0,0,2900,0,0,0,0,2900,0,0,0,1,0,0,0,0,0,1,0
GETT17,0,0,0,0,0,2900,0,0,2900,0,0,0,0,0,1,0,0,0,1,1
GETT13,0,0,0,300,0,1900,1000,0,3200,0,0,0,0.09375,0,0.59375,0.3125,0,0,1,1
GETT18,0,0,0,2800,0,0,0,0,2800,0,0,0,1,0,0,0,0,0,1,0
GETT03,0,0,0,0,0,2800,0,0,2800,0,0,0,0,0,1,0,0,0,1,1
GETT05,0,0,1700,0,0,1500,0,0,3200,0,0,0.53125,0,0,0.46875,0,0,1,1,1
GETT08,0,0,0,2700,0,0,0,0,2700,0,0,0,1,0,0,0,0,0,1,0
GETT06,0,0,0,2800,0,0,0,0,2800,0,0,0,1,0,0,0,0,0,1,0
GETT07,0,0,0,2900,0,0,0,0,2900,0,0,0,1,0,0,0,0,0,1,0
GETT11,0,0,0,900,0,0,0,0,900,0,0,0,1,0,0,0,0,0,1,0
